"","page","searchengine","pageviews","segment.id","segment.name"
"5571","Zika Virus Infection and Microcephaly | Zika virus | CDC","Google - Singapore",49,"",""
"5572","Zika Virus Infection and Microcephaly | Zika virus | CDC","Google - India",45,"",""
"5573","Zika Virus Infection and Microcephaly | Zika virus | CDC","Google - Australia",30,"",""
"5574","Zika Virus Infection and Microcephaly | Zika virus | CDC","Google - Philippines",24,"",""
"5575","Zika Virus Infection and Microcephaly | Zika virus | CDC","Google - Brasil",22,"",""
"5576","Zika Virus Infection and Microcephaly | Zika virus | CDC","Microsoft Bing",21,"",""
"5577","Zika Virus Infection and Microcephaly | Zika virus | CDC","Google - Germany",21,"",""
"5578","Zika Virus Infection and Microcephaly | Zika virus | CDC","Google - Taiwan",20,"",""
"5579","Zika Virus Infection and Microcephaly | Zika virus | CDC","Google Search App",19,"",""
"5580","Zika Virus Infection and Microcephaly | Zika virus | CDC","Google - Netherlands",17,"",""
"5581","Zika Virus Infection and Microcephaly | Zika virus | CDC","Google - Thailand",16,"",""
"5582","Zika Virus Infection and Microcephaly | Zika virus | CDC","Google - Sweden",14,"",""
"5583","Zika Virus Infection and Microcephaly | Zika virus | CDC","Google - France",13,"",""
"5584","Zika Virus Infection and Microcephaly | Zika virus | CDC","Yahoo!",12,"",""
"5585","Zika Virus Infection and Microcephaly | Zika virus | CDC","Google - Puerto Rico",10,"",""
"5586","Zika Virus Infection and Microcephaly | Zika virus | CDC","Google - Korea",10,"",""
"5587","Zika Virus Infection and Microcephaly | Zika virus | CDC","Google - Jamaica",9,"",""
"5588","Zika Virus Infection and Microcephaly | Zika virus | CDC","Google - Trinidad and Tobago",9,"",""
"5589","Zika Virus Infection and Microcephaly | Zika virus | CDC","Google - Mexico",8,"",""
"5590","Zika Virus Infection and Microcephaly | Zika virus | CDC","Google - Hong Kong",8,"",""
"5591","Zika Virus Infection and Microcephaly | Zika virus | CDC","Google - Ireland",8,"",""
"5592","Zika Virus Infection and Microcephaly | Zika virus | CDC","Google - South Africa",7,"",""
"5593","Zika Virus Infection and Microcephaly | Zika virus | CDC","Google - New Zealand",7,"",""
"5594","Zika Virus Infection and Microcephaly | Zika virus | CDC","Google - Switzerland",7,"",""
"5595","Zika Virus Infection and Microcephaly | Zika virus | CDC","Google - Viet Nam",6,"",""
"5596","Zika Virus Infection and Microcephaly | Zika virus | CDC","Google - Malaysia",5,"",""
"5597","Zika Virus Infection and Microcephaly | Zika virus | CDC","Google - Indonesia",5,"",""
"5598","Zika Virus Infection and Microcephaly | Zika virus | CDC","Google - United Arab Emirates",5,"",""
"5599","Zika Virus Infection and Microcephaly | Zika virus | CDC","Google - Poland",5,"",""
"5600","Zika Virus Infection and Microcephaly | Zika virus | CDC","Google - Japan",5,"",""
"5601","Zika Virus Infection and Microcephaly | Zika virus | CDC","Google - Guyana",4,"",""
"5602","Zika Virus Infection and Microcephaly | Zika virus | CDC","Google - Colombia",4,"",""
"5603","Zika Virus Infection and Microcephaly | Zika virus | CDC","Google - Denmark",4,"",""
"5604","Zika Virus Infection and Microcephaly | Zika virus | CDC","Google - Belgium",4,"",""
"5605","Zika Virus Infection and Microcephaly | Zika virus | CDC","Google - Egypt",3,"",""
"5606","Zika Virus Infection and Microcephaly | Zika virus | CDC","Google - Nigeria",3,"",""
"5607","Zika Virus Infection and Microcephaly | Zika virus | CDC","Google - Norway",3,"",""
"5608","Zika Virus Infection and Microcephaly | Zika virus | CDC","Google - Spain",3,"",""
"5609","Zika Virus Infection and Microcephaly | Zika virus | CDC","Google - Austria",3,"",""
"5610","Zika Virus Infection and Microcephaly | Zika virus | CDC","Google - Ghana",2,"",""
"5611","Zika Virus Infection and Microcephaly | Zika virus | CDC","DuckDuckGo",2,"",""
"5612","Zika Virus Infection and Microcephaly | Zika virus | CDC","Google - Cyprus",2,"",""
"5613","Zika Virus Infection and Microcephaly | Zika virus | CDC","Google - Pakistan",2,"",""
"5614","Zika Virus Infection and Microcephaly | Zika virus | CDC","Google - Saint Vincent and the Grenadine",2,"",""
"5615","Zika Virus Infection and Microcephaly | Zika virus | CDC","Google - Honduras",2,"",""
"5616","Zika Virus Infection and Microcephaly | Zika virus | CDC","Google - Guatemala",2,"",""
"5617","Zika Virus Infection and Microcephaly | Zika virus | CDC","Google - Malta",2,"",""
"5618","Zika Virus Infection and Microcephaly | Zika virus | CDC","Google - Ecuador",2,"",""
"5619","Zika Virus Infection and Microcephaly | Zika virus | CDC","Google - Israel",2,"",""
"5620","Zika Virus Infection and Microcephaly | Zika virus | CDC","Google - Latvia",2,"",""
"5621","Zika Virus Infection and Microcephaly | Zika virus | CDC","MyWay.com",2,"",""
"5622","Zika Virus Infection and Microcephaly | Zika virus | CDC","Google - Italy",2,"",""
"5623","Zika Virus Infection and Microcephaly | Zika virus | CDC","Google - Myanmar",1,"",""
"5624","Zika Virus Infection and Microcephaly | Zika virus | CDC","Google - Iraq",1,"",""
"5625","Zika Virus Infection and Microcephaly | Zika virus | CDC","Google - Estonia",1,"",""
"5626","Zika Virus Infection and Microcephaly | Zika virus | CDC","Google - Guadeloupe",1,"",""
"5627","Zika Virus Infection and Microcephaly | Zika virus | CDC","Google - Saudi Arabia",1,"",""
"5628","Zika Virus Infection and Microcephaly | Zika virus | CDC","Google - Argentina",1,"",""
"5629","Zika Virus Infection and Microcephaly | Zika virus | CDC","Google - Cambodia",1,"",""
"5630","Zika Virus Infection and Microcephaly | Zika virus | CDC","Google - Bahrain",1,"",""
"5631","Zika Virus Infection and Microcephaly | Zika virus | CDC","Google - Croatia",1,"",""
"5632","Zika Virus Infection and Microcephaly | Zika virus | CDC","Google - Hungary",1,"",""
"5633","Zika Virus Infection and Microcephaly | Zika virus | CDC","Google - Czech Republic",1,"",""
"5634","Zika Virus Infection and Microcephaly | Zika virus | CDC","Google - Jordan",1,"",""
"5635","Zika Virus Infection and Microcephaly | Zika virus | CDC","Google - Greece",1,"",""
"5636","Zika Virus Infection and Microcephaly | Zika virus | CDC","Google - Antigua and Barbuda",1,"",""
"5637","Zika Virus Infection and Microcephaly | Zika virus | CDC","Google - Nicaragua",1,"",""
"5638","Zika Virus Infection and Microcephaly | Zika virus | CDC","Google - Haiti",1,"",""
"5639","Zika Virus Infection and Microcephaly | Zika virus | CDC","Google - Finland",1,"",""
"5640","Zika Virus Infection and Microcephaly | Zika virus | CDC","Yahoo! - Japan",1,"",""
"5641","Zika Virus Infection and Microcephaly | Zika virus | CDC","Google - Chile",1,"",""
"5642","Future Pregnancy | Zika virus | CDC","Google",1104,"",""
"5643","Future Pregnancy | Zika virus | CDC","::unspecified::",297,"",""
"5644","Future Pregnancy | Zika virus | CDC","Google - Canada",266,"",""
"5645","Future Pregnancy | Zika virus | CDC","Google - United Kingdom",166,"",""
"5646","Future Pregnancy | Zika virus | CDC","Google - Australia",58,"",""
"5647","Future Pregnancy | Zika virus | CDC","Google - Ireland",19,"",""
"5648","Future Pregnancy | Zika virus | CDC","Google - Mexico",17,"",""
"5649","Future Pregnancy | Zika virus | CDC","Google Search App",16,"",""
"5650","Future Pregnancy | Zika virus | CDC","Google - Germany",10,"",""
"5651","Future Pregnancy | Zika virus | CDC","Microsoft Bing",9,"",""
"5652","Future Pregnancy | Zika virus | CDC","Google - Brasil",7,"",""
"5653","Future Pregnancy | Zika virus | CDC","Google - Puerto Rico",5,"",""
"5654","Future Pregnancy | Zika virus | CDC","Google - Singapore",5,"",""
"5655","Future Pregnancy | Zika virus | CDC","Google - Spain",4,"",""
"5656","Future Pregnancy | Zika virus | CDC","Google - New Zealand",4,"",""
"5657","Future Pregnancy | Zika virus | CDC","Google - Hong Kong",3,"",""
"5658","Future Pregnancy | Zika virus | CDC","Google - South Africa",3,"",""
"5659","Future Pregnancy | Zika virus | CDC","Google - Korea",3,"",""
"5660","Future Pregnancy | Zika virus | CDC","Google - Taiwan",3,"",""
"5661","Future Pregnancy | Zika virus | CDC","Google - Thailand",3,"",""
"5662","Future Pregnancy | Zika virus | CDC","Google - Sweden",3,"",""
"5663","Future Pregnancy | Zika virus | CDC","Google - France",3,"",""
"5664","Future Pregnancy | Zika virus | CDC","Google - Netherlands",3,"",""
"5665","Future Pregnancy | Zika virus | CDC","Google - Bulgaria",2,"",""
"5666","Future Pregnancy | Zika virus | CDC","Google - Croatia",2,"",""
"5667","Future Pregnancy | Zika virus | CDC","Google - Guyana",2,"",""
"5668","Future Pregnancy | Zika virus | CDC","Google - Hungary",2,"",""
"5669","Future Pregnancy | Zika virus | CDC","Google - Jamaica",2,"",""
"5670","Future Pregnancy | Zika virus | CDC","Google - Philippines",2,"",""
"5671","Future Pregnancy | Zika virus | CDC","Google - Greece",2,"",""
"5672","Future Pregnancy | Zika virus | CDC","Google - Trinidad and Tobago",2,"",""
"5673","Future Pregnancy | Zika virus | CDC","Google - American Samoa",2,"",""
"5674","Future Pregnancy | Zika virus | CDC","Google - Israel",2,"",""
"5675","Future Pregnancy | Zika virus | CDC","Google - Nicaragua",2,"",""
"5676","Future Pregnancy | Zika virus | CDC","Google - Slovakia",2,"",""
"5677","Future Pregnancy | Zika virus | CDC","Google - India",2,"",""
"5678","Future Pregnancy | Zika virus | CDC","Google - Italy",2,"",""
"5679","Future Pregnancy | Zika virus | CDC","Google - Chile",2,"",""
"5680","Future Pregnancy | Zika virus | CDC","Google - Belgium",2,"",""
"5681","Future Pregnancy | Zika virus | CDC","Google - Austria",2,"",""
"5682","Future Pregnancy | Zika virus | CDC","Yahoo!",2,"",""
"5683","Future Pregnancy | Zika virus | CDC","Google - Estonia",1,"",""
"5684","Future Pregnancy | Zika virus | CDC","Google - Dominican Republic",1,"",""
"5685","Future Pregnancy | Zika virus | CDC","Google - Slovenia",1,"",""
"5686","Future Pregnancy | Zika virus | CDC","Google - Belize",1,"",""
"5687","Future Pregnancy | Zika virus | CDC","Google - Guatemala",1,"",""
"5688","Future Pregnancy | Zika virus | CDC","Google - Jersey",1,"",""
"5689","Future Pregnancy | Zika virus | CDC","Google - Czech Republic",1,"",""
"5690","Future Pregnancy | Zika virus | CDC","Google - Dominica",1,"",""
"5691","Future Pregnancy | Zika virus | CDC","Google - Malta",1,"",""
"5692","Future Pregnancy | Zika virus | CDC","Google - Ecuador",1,"",""
"5693","Future Pregnancy | Zika virus | CDC","Google - British Virgin Islands",1,"",""
"5694","Future Pregnancy | Zika virus | CDC","Google - Anguilla",1,"",""
"5695","Future Pregnancy | Zika virus | CDC","Google - Repulic of Georgia",1,"",""
"5696","Future Pregnancy | Zika virus | CDC","Google - Norway",1,"",""
"5697","Future Pregnancy | Zika virus | CDC","Google - Portugal",1,"",""
"5698","Future Pregnancy | Zika virus | CDC","Google - Finland",1,"",""
"5699","Future Pregnancy | Zika virus | CDC","Google - Denmark",1,"",""
"5700","Future Pregnancy | Zika virus | CDC","Google - Romania",1,"",""
"5701","Future Pregnancy | Zika virus | CDC","Google - Luxembourg",1,"",""
"5702","Future Pregnancy | Zika virus | CDC","Yahoo! - Japan",1,"",""
"5703","Future Pregnancy | Zika virus | CDC","Google - Switzerland",1,"",""
"5704","Resources & Publications | Zika virus | CDC","::unspecified::",1147,"",""
"5705","Resources & Publications | Zika virus | CDC","Google",572,"",""
"5706","Resources & Publications | Zika virus | CDC","Microsoft Bing",105,"",""
"5707","Resources & Publications | Zika virus | CDC","Google - Canada",35,"",""
"5708","Resources & Publications | Zika virus | CDC","Google - United Kingdom",25,"",""
"5709","Resources & Publications | Zika virus | CDC","Yahoo!",23,"",""
"5710","Resources & Publications | Zika virus | CDC","Google - India",19,"",""
"5711","Resources & Publications | Zika virus | CDC","Google - Puerto Rico",12,"",""
"5712","Resources & Publications | Zika virus | CDC","Baidu",8,"",""
"5713","Resources & Publications | Zika virus | CDC","Google - Germany",7,"",""
"5714","Resources & Publications | Zika virus | CDC","MyWay.com",6,"",""
"5715","Resources & Publications | Zika virus | CDC","Google - Switzerland",6,"",""
"5716","Resources & Publications | Zika virus | CDC","Ask Jeeves",6,"",""
"5717","Resources & Publications | Zika virus | CDC","Google - Mexico",5,"",""
"5718","Resources & Publications | Zika virus | CDC","Google - Korea",5,"",""
"5719","Resources & Publications | Zika virus | CDC","Google - Colombia",4,"",""
"5720","Resources & Publications | Zika virus | CDC","Google - Philippines",4,"",""
"5721","Resources & Publications | Zika virus | CDC","Google - Sweden",4,"",""
"5722","Resources & Publications | Zika virus | CDC","Google - Australia",4,"",""
"5723","Resources & Publications | Zika virus | CDC","Google - France",4,"",""
"5724","Resources & Publications | Zika virus | CDC","Google Search App",3,"",""
"5725","Resources & Publications | Zika virus | CDC","Google - Hungary",3,"",""
"5726","Resources & Publications | Zika virus | CDC","Google - Thailand",3,"",""
"5727","Resources & Publications | Zika virus | CDC","Google - United Arab Emirates",3,"",""
"5728","Resources & Publications | Zika virus | CDC","Google - Italy",3,"",""
"5729","Resources & Publications | Zika virus | CDC","Google - Lebanon",2,"",""
"5730","Resources & Publications | Zika virus | CDC","Google - Estonia",2,"",""
"5731","Resources & Publications | Zika virus | CDC","Google - Viet Nam",2,"",""
"5732","Resources & Publications | Zika virus | CDC","Google - Indonesia",2,"",""
"5733","Resources & Publications | Zika virus | CDC","Google - Jamaica",2,"",""
"5734","Resources & Publications | Zika virus | CDC","Google - Singapore",2,"",""
"5735","Resources & Publications | Zika virus | CDC","Google - Hong Kong",2,"",""
"5736","Resources & Publications | Zika virus | CDC","Google - Denmark",2,"",""
"5737","Resources & Publications | Zika virus | CDC","Google - Ireland",2,"",""
"5738","Resources & Publications | Zika virus | CDC","Google - Spain",2,"",""
"5739","Resources & Publications | Zika virus | CDC","Google - Brasil",2,"",""
"5740","Resources & Publications | Zika virus | CDC","Google - New Zealand",2,"",""
"5741","Resources & Publications | Zika virus | CDC","Google - Japan",2,"",""
"5742","Resources & Publications | Zika virus | CDC","Google - Cyprus",1,"",""
"5743","Resources & Publications | Zika virus | CDC","Google - Egypt",1,"",""
"5744","Resources & Publications | Zika virus | CDC","Google - Venezuela",1,"",""
"5745","Resources & Publications | Zika virus | CDC","Google - Argentina",1,"",""
"5746","Resources & Publications | Zika virus | CDC","Google - Peru",1,"",""
"5747","Resources & Publications | Zika virus | CDC","Google - El Salvador",1,"",""
"5748","Resources & Publications | Zika virus | CDC","Google - Guatemala",1,"",""
"5749","Resources & Publications | Zika virus | CDC","Google - Czech Republic",1,"",""
"5750","Resources & Publications | Zika virus | CDC","Google - Dominica",1,"",""
"5751","Resources & Publications | Zika virus | CDC","Google - South Africa",1,"",""
"5752","Resources & Publications | Zika virus | CDC","Google - Ethiopia",1,"",""
"5753","Resources & Publications | Zika virus | CDC","Google - Trinidad and Tobago",1,"",""
"5754","Resources & Publications | Zika virus | CDC","Google - Ukraine",1,"",""
"5755","Resources & Publications | Zika virus | CDC","Google - Latvia",1,"",""
"5756","Resources & Publications | Zika virus | CDC","Yahoo! - Mexico",1,"",""
"5757","Resources & Publications | Zika virus | CDC","Google - Portugal",1,"",""
"5758","Resources & Publications | Zika virus | CDC","Yahoo! - France",1,"",""
"5759","Resources & Publications | Zika virus | CDC","AOL.com Search",1,"",""
"5760","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","::unspecified::",1030,"",""
"5761","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Google",513,"",""
"5762","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Microsoft Bing",63,"",""
"5763","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Google - Canada",36,"",""
"5764","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Google - United Kingdom",25,"",""
"5765","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Yahoo!",14,"",""
"5766","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Google - India",10,"",""
"5767","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Google Search App",8,"",""
"5768","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Google - Saudi Arabia",7,"",""
"5769","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Google - Philippines",7,"",""
"5770","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Google - United Arab Emirates",7,"",""
"5771","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Google - Thailand",5,"",""
"5772","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Google - Australia",4,"",""
"5773","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Google - Puerto Rico",3,"",""
"5774","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Google - Peru",3,"",""
"5775","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Google - Singapore",3,"",""
"5776","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Google - Slovakia",3,"",""
"5777","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Google - Netherlands",3,"",""
"5778","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Google - Pakistan",2,"",""
"5779","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Google - Guatemala",2,"",""
"5780","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Google - Antigua and Barbuda",2,"",""
"5781","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Google - Ireland",2,"",""
"5782","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Google - France",2,"",""
"5783","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Google - Cyprus",1,"",""
"5784","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Google - Egypt",1,"",""
"5785","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Google - Djibouti",1,"",""
"5786","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Google - Dominican Republic",1,"",""
"5787","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Google - Argentina",1,"",""
"5788","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Google - Cambodia",1,"",""
"5789","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Google - Bulgaria",1,"",""
"5790","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Google - Sri Lanka",1,"",""
"5791","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Google - Viet Nam",1,"",""
"5792","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Google - Mexico",1,"",""
"5793","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Google - Malaysia",1,"",""
"5794","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Google - Turkey",1,"",""
"5795","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Google - Indonesia",1,"",""
"5796","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Google - Hungary",1,"",""
"5797","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Google - Colombia",1,"",""
"5798","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Google - Czech Republic",1,"",""
"5799","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Google - Dominica",1,"",""
"5800","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Google - Hong Kong",1,"",""
"5801","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Google - Malta",1,"",""
"5802","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Google - Ecuador",1,"",""
"5803","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Google - American Samoa",1,"",""
"5804","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Google - Korea",1,"",""
"5805","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Google - Taiwan",1,"",""
"5806","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Google - Norway",1,"",""
"5807","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Google - Poland",1,"",""
"5808","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Google - Denmark",1,"",""
"5809","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","MyWay.com",1,"",""
"5810","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Google - Spain",1,"",""
"5811","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Google - Japan",1,"",""
"5812","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Google - Italy",1,"",""
"5813","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Google - Germany",1,"",""
"5814","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Ask Jeeves",1,"",""
"5815","Zika Virus Transmission in Infants and Children | Zika virus | CDC","Google",1018,"",""
"5816","Zika Virus Transmission in Infants and Children | Zika virus | CDC","Google - Canada",349,"",""
"5817","Zika Virus Transmission in Infants and Children | Zika virus | CDC","::unspecified::",170,"",""
"5818","Zika Virus Transmission in Infants and Children | Zika virus | CDC","Google - United Kingdom",76,"",""
"5819","Zika Virus Transmission in Infants and Children | Zika virus | CDC","Google - Australia",18,"",""
"5820","Zika Virus Transmission in Infants and Children | Zika virus | CDC","Google Search App",12,"",""
"5821","Zika Virus Transmission in Infants and Children | Zika virus | CDC","Google - Thailand",8,"",""
"5822","Zika Virus Transmission in Infants and Children | Zika virus | CDC","Google - Denmark",8,"",""
"5823","Zika Virus Transmission in Infants and Children | Zika virus | CDC","Google - India",8,"",""
"5824","Zika Virus Transmission in Infants and Children | Zika virus | CDC","Google - France",8,"",""
"5825","Zika Virus Transmission in Infants and Children | Zika virus | CDC","Google - Mexico",7,"",""
"5826","Zika Virus Transmission in Infants and Children | Zika virus | CDC","Google - Jamaica",7,"",""
"5827","Zika Virus Transmission in Infants and Children | Zika virus | CDC","Google - Singapore",7,"",""
"5828","Zika Virus Transmission in Infants and Children | Zika virus | CDC","Google - Netherlands",7,"",""
"5829","Zika Virus Transmission in Infants and Children | Zika virus | CDC","Google - Philippines",6,"",""
"5830","Zika Virus Transmission in Infants and Children | Zika virus | CDC","Google - Brasil",6,"",""
"5831","Zika Virus Transmission in Infants and Children | Zika virus | CDC","Yahoo!",6,"",""
"5832","Zika Virus Transmission in Infants and Children | Zika virus | CDC","Microsoft Bing",5,"",""
"5833","Zika Virus Transmission in Infants and Children | Zika virus | CDC","Google - Hong Kong",5,"",""
"5834","Zika Virus Transmission in Infants and Children | Zika virus | CDC","Google - Ireland",4,"",""
"5835","Zika Virus Transmission in Infants and Children | Zika virus | CDC","Google - Puerto Rico",3,"",""
"5836","Zika Virus Transmission in Infants and Children | Zika virus | CDC","Google - South Africa",3,"",""
"5837","Zika Virus Transmission in Infants and Children | Zika virus | CDC","Google - Trinidad and Tobago",3,"",""
"5838","Zika Virus Transmission in Infants and Children | Zika virus | CDC","Google - Sweden",3,"",""
"5839","Zika Virus Transmission in Infants and Children | Zika virus | CDC","Google - Spain",3,"",""
"5840","Zika Virus Transmission in Infants and Children | Zika virus | CDC","Google - Pakistan",2,"",""
"5841","Zika Virus Transmission in Infants and Children | Zika virus | CDC","Google - Guyana",2,"",""
"5842","Zika Virus Transmission in Infants and Children | Zika virus | CDC","Google - Viet Nam",2,"",""
"5843","Zika Virus Transmission in Infants and Children | Zika virus | CDC","Google - Colombia",2,"",""
"5844","Zika Virus Transmission in Infants and Children | Zika virus | CDC","Google - Korea",2,"",""
"5845","Zika Virus Transmission in Infants and Children | Zika virus | CDC","Google - United Arab Emirates",2,"",""
"5846","Zika Virus Transmission in Infants and Children | Zika virus | CDC","Google - New Zealand",2,"",""
"5847","Zika Virus Transmission in Infants and Children | Zika virus | CDC","Google - Estonia",1,"",""
"5848","Zika Virus Transmission in Infants and Children | Zika virus | CDC","Google - Saudi Arabia",1,"",""
"5849","Zika Virus Transmission in Infants and Children | Zika virus | CDC","Google - Dominican Republic",1,"",""
"5850","Zika Virus Transmission in Infants and Children | Zika virus | CDC","Google - Bulgaria",1,"",""
"5851","Zika Virus Transmission in Infants and Children | Zika virus | CDC","Google - Sri Lanka",1,"",""
"5852","Zika Virus Transmission in Infants and Children | Zika virus | CDC","Google - Belize",1,"",""
"5853","Zika Virus Transmission in Infants and Children | Zika virus | CDC","Google - Nepal",1,"",""
"5854","Zika Virus Transmission in Infants and Children | Zika virus | CDC","Google - Maldives",1,"",""
"5855","Zika Virus Transmission in Infants and Children | Zika virus | CDC","Google - Malaysia",1,"",""
"5856","Zika Virus Transmission in Infants and Children | Zika virus | CDC","Google - Indonesia",1,"",""
"5857","Zika Virus Transmission in Infants and Children | Zika virus | CDC","Google - Hungary",1,"",""
"5858","Zika Virus Transmission in Infants and Children | Zika virus | CDC","Google - The Bahamas",1,"",""
"5859","Zika Virus Transmission in Infants and Children | Zika virus | CDC","Google - Russia",1,"",""
"5860","Zika Virus Transmission in Infants and Children | Zika virus | CDC","Google - Portugal",1,"",""
"5861","Zika Virus Transmission in Infants and Children | Zika virus | CDC","Google - Romania",1,"",""
"5862","Zika Virus Transmission in Infants and Children | Zika virus | CDC","Google - Germany",1,"",""
"5863","Zika Virus Transmission in Infants and Children | Zika virus | CDC","Ask Jeeves",1,"",""
"5864","Communication Resources | Zika virus | CDC","::unspecified::",1062,"",""
"5865","Communication Resources | Zika virus | CDC","Google",441,"",""
"5866","Communication Resources | Zika virus | CDC","Microsoft Bing",69,"",""
"5867","Communication Resources | Zika virus | CDC","Google - Canada",42,"",""
"5868","Communication Resources | Zika virus | CDC","Yahoo!",20,"",""
"5869","Communication Resources | Zika virus | CDC","Google - United Kingdom",19,"",""
"5870","Communication Resources | Zika virus | CDC","Google - India",12,"",""
"5871","Communication Resources | Zika virus | CDC","Google - Puerto Rico",7,"",""
"5872","Communication Resources | Zika virus | CDC","Google - Colombia",6,"",""
"5873","Communication Resources | Zika virus | CDC","MyWay.com",5,"",""
"5874","Communication Resources | Zika virus | CDC","Google - Australia",5,"",""
"5875","Communication Resources | Zika virus | CDC","Google - Spain",3,"",""
"5876","Communication Resources | Zika virus | CDC","Google - Brasil",3,"",""
"5877","Communication Resources | Zika virus | CDC","Ask Jeeves",3,"",""
"5878","Communication Resources | Zika virus | CDC","Google Search App",2,"",""
"5879","Communication Resources | Zika virus | CDC","Google - Pakistan",2,"",""
"5880","Communication Resources | Zika virus | CDC","Google - Saint Vincent and the Grenadine",2,"",""
"5881","Communication Resources | Zika virus | CDC","Google - Viet Nam",2,"",""
"5882","Communication Resources | Zika virus | CDC","Google - Jamaica",2,"",""
"5883","Communication Resources | Zika virus | CDC","Google - Singapore",2,"",""
"5884","Communication Resources | Zika virus | CDC","Google - Ecuador",2,"",""
"5885","Communication Resources | Zika virus | CDC","Google - Israel",2,"",""
"5886","Communication Resources | Zika virus | CDC","Google - Sweden",2,"",""
"5887","Communication Resources | Zika virus | CDC","Google - Japan",2,"",""
