"","page","searchenginekeyword","pageviews","segment.id","segment.name"
"11825","Treatment | Zika virus | CDC","zika irus medicines",1,"",""
"11826","Treatment | Zika virus | CDC","how to solve zika virus?",1,"",""
"11827","Treatment | Zika virus | CDC","medication for zika virus",1,"",""
"11828","Treatment | Zika virus | CDC","zika virus what to do",1,"",""
"11829","Treatment | Zika virus | CDC","how to get rid of zika",1,"",""
"11830","Treatment | Zika virus | CDC","zika caribbean",1,"",""
"11831","Treatment | Zika virus | CDC","zika virus tredment",1,"",""
"11832","Treatment | Zika virus | CDC","zika symtoms",1,"",""
"11833","Treatment | Zika virus | CDC","what to look for zika virus",1,"",""
"11834","Treatment | Zika virus | CDC","describe the cause and symptons of the zika virus",1,"",""
"11835","Treatment | Zika virus | CDC","zika symptoms in adults",1,"",""
"11836","Treatment | Zika virus | CDC","symptoms of zika mosquito bite",1,"",""
"11837","Treatment | Zika virus | CDC","zika virus pregnan",1,"",""
"11838","Treatment | Zika virus | CDC","https://www.cdc.gov/zika/symptoms/treatment.html",1,"",""
"11839","Treatment | Zika virus | CDC","zika virus skin rash",1,"",""
"11840","Treatment | Zika virus | CDC","treatments for zika",1,"",""
"11841","Treatment | Zika virus | CDC","about zika",1,"",""
"11842","Treatment | Zika virus | CDC","why immunize",1,"",""
"11843","Treatment | Zika virus | CDC","which is an example of a zoonotic disease",1,"",""
"11844","Treatment | Zika virus | CDC","how long does zika last",1,"",""
"11845","Treatment | Zika virus | CDC","https://www.cdc.gov/zika/symptoms/diagnosis.html",1,"",""
"11846","Treatment | Zika virus | CDC","zika fact sheet cdc",1,"",""
"11847","Treatment | Zika virus | CDC","symptoms of zikz virus",1,"",""
"11848","Treatment | Zika virus | CDC","how can you get zika",1,"",""
"11849","Treatment | Zika virus | CDC","is there a vaccine or treatment of the zika virus?",1,"",""
"11850","Treatment | Zika virus | CDC","mosquito virus",1,"",""
"11851","Treatment | Zika virus | CDC","zika treatments",1,"",""
"11852","Treatment | Zika virus | CDC","zika test",1,"",""
"11853","Treatment | Zika virus | CDC","signs of zika virus in adults",1,"",""
"11854","Treatment | Zika virus | CDC","zika treatm,ent or vaccine",1,"",""
"11855","Treatment | Zika virus | CDC","chikungunya virus",1,"",""
"11856","Treatment | Zika virus | CDC","cdc.gov zika virus",1,"",""
"11857","Treatment | Zika virus | CDC","zika virus in us",1,"",""
"11858","Treatment | Zika virus | CDC","z",1,"",""
"11859","Treatment | Zika virus | CDC","zika symptoms adults",1,"",""
"11860","Treatment | Zika virus | CDC","recommended treatment for zika",1,"",""
"11861","Treatment | Zika virus | CDC","the treatment of zika",1,"",""
"11862","Treatment | Zika virus | CDC","zika map",1,"",""
"11863","Treatment | Zika virus | CDC","cdc org",1,"",""
"11864","Treatment | Zika virus | CDC","latest cdc update on zika",1,"",""
"11865","Treatment | Zika virus | CDC","zika symptoms in pregnant women",1,"",""
"11866","Treatment | Zika virus | CDC","treating zika",1,"",""
"11867","Treatment | Zika virus | CDC","if positive for ziki virus what to do",1,"",""
"11868","Treatment | Zika virus | CDC","diagnosis and testing",1,"",""
"11869","Treatment | Zika virus | CDC","cdc zika vaccine prvabc59",1,"",""
"11870","Treatment | Zika virus | CDC","how to prevent zeeka",1,"",""
"11871","Treatment | Zika virus | CDC","zika in pregnancy",1,"",""
"11872","Treatment | Zika virus | CDC","symptom of zika virus",1,"",""
"11873","Treatment | Zika virus | CDC","steroids zika rash",1,"",""
"11874","Treatment | Zika virus | CDC","what is zika",1,"",""
"11875","Treatment | Zika virus | CDC","<U+091F><U+094D><U+0930><U+0940><U+091F><U+092E><U+0947><U+0902><U+091F> <U+0911><U+092B> <U+0930><U+093F><U+0902><U+0917><U+093F><U+0902><U+0917> <U+0907><U+0928> <U+090F><U+0930><U+094D><U+0938>",1,"",""
"11876","Treatment | Zika virus | CDC","what is the medicine of coccidoesy",1,"",""
"11877","Treatment | Zika virus | CDC","https://www.cdc.gov/zika/geo/active-countries.html",1,"",""
"11878","Treatment | Zika virus | CDC","zika tylenol",1,"",""
"11879","Treatment | Zika virus | CDC","remedy of zika disease",1,"",""
"11880","Treatment | Zika virus | CDC","zenia disease mosquitos pregnant",1,"",""
"11881","Treatment | Zika virus | CDC","zika curable",1,"",""
"11882","Treatment | Zika virus | CDC","zeka symptoms",1,"",""
"11883","Treatment | Zika virus | CDC","blood test on zica",1,"",""
"11884","Treatment | Zika virus | CDC","zika virus introduction",1,"",""
"11885","Treatment | Zika virus | CDC","mosquito species zika virus",1,"",""
"11886","Treatment | Zika virus | CDC","test for zika",1,"",""
"11887","Treatment | Zika virus | CDC","what is treated by doxystat",1,"",""
"11888","Treatment | Zika virus | CDC","zika virus and antibiotics",1,"",""
"11889","Treatment | Zika virus | CDC","zika%",1,"",""
"11890","Treatment | Zika virus | CDC","conjunctivitis in baby zika virus",1,"",""
"11891","Treatment | Zika virus | CDC","should the government help cure zika virus",1,"",""
"11892","Treatment | Zika virus | CDC","zika virus symptoms how many",1,"",""
"11893","Treatment | Zika virus | CDC","tertiary prevention to zika virus",1,"",""
"11894","Treatment | Zika virus | CDC","zika virus management",1,"",""
"11895","Treatment | Zika virus | CDC","virus treat",1,"",""
"11896","Treatment | Zika virus | CDC","treat pain zika virus",1,"",""
"11897","Treatment | Zika virus | CDC","how we know zika mosquito bites",1,"",""
"11898","Treatment | Zika virus | CDC","what are symptoms of zika virus whaat percentage of people show symptoms",1,"",""
"11899","Treatment | Zika virus | CDC","diagnosis of zika virus",1,"",""
"11900","Prevent Mosquito Bites | Zika virus | CDC","::unspecified::",11901,"",""
"11901","Prevent Mosquito Bites | Zika virus | CDC","::empty::",9844,"",""
"11902","Prevent Mosquito Bites | Zika virus | CDC","cdc zika",26,"",""
"11903","Prevent Mosquito Bites | Zika virus | CDC","zika virus",26,"",""
"11904","Prevent Mosquito Bites | Zika virus | CDC","cdc",23,"",""
"11905","Prevent Mosquito Bites | Zika virus | CDC","zika",18,"",""
"11906","Prevent Mosquito Bites | Zika virus | CDC","zika virus cdc",7,"",""
"11907","Prevent Mosquito Bites | Zika virus | CDC","zika map",5,"",""
"11908","Prevent Mosquito Bites | Zika virus | CDC","best bug spray to prevent zika",5,"",""
"11909","Prevent Mosquito Bites | Zika virus | CDC","zika virus prevention",5,"",""
"11910","Prevent Mosquito Bites | Zika virus | CDC","cdc website",4,"",""
"11911","Prevent Mosquito Bites | Zika virus | CDC","zika virus map",4,"",""
"11912","Prevent Mosquito Bites | Zika virus | CDC","zika virus protection",4,"",""
"11913","Prevent Mosquito Bites | Zika virus | CDC","prevention from zika",4,"",""
"11914","Prevent Mosquito Bites | Zika virus | CDC","zika protocols for protection",4,"",""
"11915","Prevent Mosquito Bites | Zika virus | CDC","zika prevention",4,"",""
"11916","Prevent Mosquito Bites | Zika virus | CDC","cdc zika virus",4,"",""
"11917","Prevent Mosquito Bites | Zika virus | CDC","how to prevent mosquito",3,"",""
"11918","Prevent Mosquito Bites | Zika virus | CDC","https://www.cdc.gov/zika/prevention/prevent-mosquito-bites.html",3,"",""
"11919","Prevent Mosquito Bites | Zika virus | CDC","cdc.gov zika",3,"",""
"11920","Prevent Mosquito Bites | Zika virus | CDC","are there shots for the zika virus?",3,"",""
"11921","Prevent Mosquito Bites | Zika virus | CDC","where is zika",3,"",""
"11922","Prevent Mosquito Bites | Zika virus | CDC","how to prevent mosquito bites",3,"",""
"11923","Prevent Mosquito Bites | Zika virus | CDC","two solutions for zika virus",2,"",""
"11924","Prevent Mosquito Bites | Zika virus | CDC","zika fever",2,"",""
"11925","Prevent Mosquito Bites | Zika virus | CDC","picaridin for zika virus",2,"",""
"11926","Prevent Mosquito Bites | Zika virus | CDC","safety precautions for zeka",2,"",""
"11927","Prevent Mosquito Bites | Zika virus | CDC","https://www.cdc.gov/zika/",2,"",""
"11928","Prevent Mosquito Bites | Zika virus | CDC","zika virus in florida",2,"",""
"11929","Prevent Mosquito Bites | Zika virus | CDC","mosquito zika virus",2,"",""
"11930","Prevent Mosquito Bites | Zika virus | CDC","www.cdc.gov",2,"",""
"11931","Prevent Mosquito Bites | Zika virus | CDC","centers for disease control and prevention",2,"",""
"11932","Prevent Mosquito Bites | Zika virus | CDC","zika cdc",2,"",""
"11933","Prevent Mosquito Bites | Zika virus | CDC","cdc zika prevention",2,"",""
"11934","Prevent Mosquito Bites | Zika virus | CDC","to prevent transmission of zika, travelers should",2,"",""
"11935","Prevent Mosquito Bites | Zika virus | CDC","zika virus locations",2,"",""
"11936","Prevent Mosquito Bites | Zika virus | CDC","cdc zika avon",2,"",""
"11937","Prevent Mosquito Bites | Zika virus | CDC","zika texas cdc",2,"",""
"11938","Prevent Mosquito Bites | Zika virus | CDC","prevention zika virus",2,"",""
"11939","Prevent Mosquito Bites | Zika virus | CDC","zika symptoms in adults",2,"",""
"11940","Prevent Mosquito Bites | Zika virus | CDC","how to reduce the risk of gettig zika",2,"",""
"11941","Prevent Mosquito Bites | Zika virus | CDC","zika in florida",2,"",""
"11942","Prevent Mosquito Bites | Zika virus | CDC","where is the zika virus",2,"",""
"11943","Prevent Mosquito Bites | Zika virus | CDC","do you need deet to protect you from zika",2,"",""
"11944","Prevent Mosquito Bites | Zika virus | CDC","mosquito virus",2,"",""
"11945","Prevent Mosquito Bites | Zika virus | CDC","recommended mosquito repellent for zika virus",2,"",""
"11946","Prevent Mosquito Bites | Zika virus | CDC","zika virus symptoms",2,"",""
"11947","Prevent Mosquito Bites | Zika virus | CDC","comprehensive list of places with zika virus",2,"",""
"11948","Prevent Mosquito Bites | Zika virus | CDC","preventing zika",2,"",""
"11949","Prevent Mosquito Bites | Zika virus | CDC","is it dangerous to go to florida when pregnant",2,"",""
"11950","Prevent Mosquito Bites | Zika virus | CDC","https://www.cdc.gov/zika/intheus/florida-update.html",2,"",""
"11951","Prevent Mosquito Bites | Zika virus | CDC","zika virus in florida 2017",2,"",""
"11952","Prevent Mosquito Bites | Zika virus | CDC","cdc mosquito bite prevention",2,"",""
"11953","Prevent Mosquito Bites | Zika virus | CDC","avoid zeka mosquito bite",2,"",""
"11954","Prevent Mosquito Bites | Zika virus | CDC","prevention zika",2,"",""
"11955","Prevent Mosquito Bites | Zika virus | CDC","zika miami",2,"",""
"11956","Prevent Mosquito Bites | Zika virus | CDC","bug spray recommended to prevent zika",2,"",""
"11957","Prevent Mosquito Bites | Zika virus | CDC","zika miami area",2,"",""
"11958","Prevent Mosquito Bites | Zika virus | CDC","zika virus countries",2,"",""
"11959","Prevent Mosquito Bites | Zika virus | CDC","what bug spray should i apply to guard against the zeka virus",2,"",""
"11960","Prevent Mosquito Bites | Zika virus | CDC","prevention from mosquito",2,"",""
"11961","Prevent Mosquito Bites | Zika virus | CDC","mosquito bite control",1,"",""
"11962","Prevent Mosquito Bites | Zika virus | CDC","how to prevent zika virus",1,"",""
"11963","Prevent Mosquito Bites | Zika virus | CDC","zika virus co",1,"",""
"11964","Prevent Mosquito Bites | Zika virus | CDC","rubella",1,"",""
"11965","Prevent Mosquito Bites | Zika virus | CDC","bug spray anti zika",1,"",""
"11966","Prevent Mosquito Bites | Zika virus | CDC","zika countries",1,"",""
"11967","Prevent Mosquito Bites | Zika virus | CDC","cdc ziki recommendations",1,"",""
"11968","Prevent Mosquito Bites | Zika virus | CDC","mosquitoes zika",1,"",""
"11969","Prevent Mosquito Bites | Zika virus | CDC","zika south florida",1,"",""
"11970","Prevent Mosquito Bites | Zika virus | CDC","how can we pevent ourself from mosquito bite",1,"",""
"11971","Prevent Mosquito Bites | Zika virus | CDC","do mosquitos carry malaria",1,"",""
"11972","Prevent Mosquito Bites | Zika virus | CDC","prevention of mosquitoes",1,"",""
"11973","Prevent Mosquito Bites | Zika virus | CDC","areas in us affected by zika",1,"",""
"11974","Prevent Mosquito Bites | Zika virus | CDC","zica virus",1,"",""
"11975","Prevent Mosquito Bites | Zika virus | CDC","deet for zika virus",1,"",""
"11976","Prevent Mosquito Bites | Zika virus | CDC","prevention methods for zika from the cdc",1,"",""
"11977","Prevent Mosquito Bites | Zika virus | CDC","download pdf how to keep safe from mosquitoes",1,"",""
"11978","Prevent Mosquito Bites | Zika virus | CDC","deet % for zika",1,"",""
"11979","Prevent Mosquito Bites | Zika virus | CDC","active zika countries",1,"",""
"11980","Prevent Mosquito Bites | Zika virus | CDC","zika and pregnancy",1,"",""
"11981","Prevent Mosquito Bites | Zika virus | CDC","how to prevent zika virus when travelling",1,"",""
"11982","Prevent Mosquito Bites | Zika virus | CDC","zika costa rica",1,"",""
"11983","Prevent Mosquito Bites | Zika virus | CDC","http://www.cdc.gov/",1,"",""
"11984","Prevent Mosquito Bites | Zika virus | CDC","zika problem in miami fl",1,"",""
"11985","Prevent Mosquito Bites | Zika virus | CDC","ziga disease",1,"",""
"11986","Prevent Mosquito Bites | Zika virus | CDC","how to protect from zika virus",1,"",""
"11987","Prevent Mosquito Bites | Zika virus | CDC","zika virus and mosquito repellent",1,"",""
"11988","Prevent Mosquito Bites | Zika virus | CDC","symptoms",1,"",""
"11989","Prevent Mosquito Bites | Zika virus | CDC","ways to avoid viruses zika in our community",1,"",""
"11990","Prevent Mosquito Bites | Zika virus | CDC","zyka mosquito bites",1,"",""
"11991","Prevent Mosquito Bites | Zika virus | CDC","zika virus chances",1,"",""
"11992","Prevent Mosquito Bites | Zika virus | CDC","premethrin for zika virus",1,"",""
"11993","Prevent Mosquito Bites | Zika virus | CDC","mosquito prevention",1,"",""
"11994","Prevent Mosquito Bites | Zika virus | CDC","how to avoid mosquito bites",1,"",""
"11995","Prevent Mosquito Bites | Zika virus | CDC","cdc mosquito repellent zika",1,"",""
"11996","Prevent Mosquito Bites | Zika virus | CDC","insect spray cdc",1,"",""
"11997","Prevent Mosquito Bites | Zika virus | CDC","how to prevent mosquitoes from biting",1,"",""
"11998","Prevent Mosquito Bites | Zika virus | CDC","zika virus epidemiology and control",1,"",""
"11999","Prevent Mosquito Bites | Zika virus | CDC","where is zika still an issue",1,"",""
"12000","Prevent Mosquito Bites | Zika virus | CDC","what can i use as a deterent for zika mosquitos",1,"",""
"12001","Prevent Mosquito Bites | Zika virus | CDC","ziki virus protection",1,"",""
"12002","Prevent Mosquito Bites | Zika virus | CDC","confirmed cases of zika",1,"",""
"12003","Prevent Mosquito Bites | Zika virus | CDC","ziki virus",1,"",""
"12004","Prevent Mosquito Bites | Zika virus | CDC","bug protection for zika virus",1,"",""
"12005","Prevent Mosquito Bites | Zika virus | CDC","fda",1,"",""
"12006","Prevent Mosquito Bites | Zika virus | CDC","best deet for zika",1,"",""
"12007","Prevent Mosquito Bites | Zika virus | CDC","zika miami who",1,"",""
"12008","Prevent Mosquito Bites | Zika virus | CDC","what is the cdc doing to prevent zika",1,"",""
"12009","Prevent Mosquito Bites | Zika virus | CDC","cdc zika recommendations",1,"",""
"12010","Prevent Mosquito Bites | Zika virus | CDC","zitka",1,"",""
"12011","Prevent Mosquito Bites | Zika virus | CDC","active cases of zika in us",1,"",""
"12012","Prevent Mosquito Bites | Zika virus | CDC","cdc insect repellents",1,"",""
"12013","Prevent Mosquito Bites | Zika virus | CDC","tests for zika virus",1,"",""
"12014","Prevent Mosquito Bites | Zika virus | CDC","bug spray for zika",1,"",""
"12015","Prevent Mosquito Bites | Zika virus | CDC","test for zike",1,"",""
"12016","Prevent Mosquito Bites | Zika virus | CDC","protection against zika virus",1,"",""
"12017","Prevent Mosquito Bites | Zika virus | CDC","prevention of mosquito",1,"",""
"12018","Prevent Mosquito Bites | Zika virus | CDC","zika repellent",1,"",""
"12019","Prevent Mosquito Bites | Zika virus | CDC","centers for disease control zika virus",1,"",""
"12020","Prevent Mosquito Bites | Zika virus | CDC","virus zika cdc",1,"",""
"12021","Prevent Mosquito Bites | Zika virus | CDC","how does disney prevent zika virus",1,"",""
"12022","Prevent Mosquito Bites | Zika virus | CDC","zika in cancun mexico",1,"",""
"12023","Prevent Mosquito Bites | Zika virus | CDC","how to avoid zika virus",1,"",""
"12024","Prevent Mosquito Bites | Zika virus | CDC","how can you protect yourself from commnibd",1,"",""
"12025","Prevent Mosquito Bites | Zika virus | CDC","sika  and the cdc",1,"",""
"12026","Prevent Mosquito Bites | Zika virus | CDC","zika mosquitos",1,"",""
"12027","Prevent Mosquito Bites | Zika virus | CDC","prevention for zika virus",1,"",""
"12028","Prevent Mosquito Bites | Zika virus | CDC","zika and belize",1,"",""
"12029","Prevent Mosquito Bites | Zika virus | CDC","pregnant avoiding zika",1,"",""
"12030","Prevent Mosquito Bites | Zika virus | CDC","how to protect against zika mosquito",1,"",""
"12031","Prevent Mosquito Bites | Zika virus | CDC","how to protect against zika virus",1,"",""
"12032","Prevent Mosquito Bites | Zika virus | CDC","florida zika in january",1,"",""
"12033","Prevent Mosquito Bites | Zika virus | CDC","vijaywada safety mosciuto prevent agency",1,"",""
"12034","Prevent Mosquito Bites | Zika virus | CDC","how to prevent mosquitoes",1,"",""
"12035","Prevent Mosquito Bites | Zika virus | CDC","how to prevent mosquito bite",1,"",""
"12036","Prevent Mosquito Bites | Zika virus | CDC","zika guidelines for trying to conceive",1,"",""
"12037","Prevent Mosquito Bites | Zika virus | CDC","babies of men with zika virus",1,"",""
"12038","Prevent Mosquito Bites | Zika virus | CDC","cdc zika mosquito repellent",1,"",""
"12039","Prevent Mosquito Bites | Zika virus | CDC","disease control",1,"",""
"12040","Prevent Mosquito Bites | Zika virus | CDC","repellent for zika",1,"",""
"12041","Prevent Mosquito Bites | Zika virus | CDC","prevention from mosquitoes",1,"",""
"12042","Prevent Mosquito Bites | Zika virus | CDC","eucalyptus oil prevent mosquito bites",1,"",""
"12043","Prevent Mosquito Bites | Zika virus | CDC","zika site:cdc.gov",1,"",""
"12044","Prevent Mosquito Bites | Zika virus | CDC","cdc use insect repellent after return from zika",1,"",""
"12045","Prevent Mosquito Bites | Zika virus | CDC","i am.going to florida and want to avoid being bitten by mosquitoes",1,"",""
"12046","Prevent Mosquito Bites | Zika virus | CDC","best insecticide for zika",1,"",""
"12047","Prevent Mosquito Bites | Zika virus | CDC","against mosquito",1,"",""
"12048","Prevent Mosquito Bites | Zika virus | CDC","mosquito dease that effect woman who are pregnent",1,"",""
"12049","Prevent Mosquito Bites | Zika virus | CDC","prevent mosquito bites",1,"",""
"12050","Prevent Mosquito Bites | Zika virus | CDC","mosquito bites",1,"",""
"12051","Prevent Mosquito Bites | Zika virus | CDC","center of disease control and prevention- zika virus",1,"",""
"12052","Prevent Mosquito Bites | Zika virus | CDC","is zika still an issue",1,"",""
"12053","Prevent Mosquito Bites | Zika virus | CDC","symptoms of zika",1,"",""
"12054","Prevent Mosquito Bites | Zika virus | CDC","plan before you travel zika",1,"",""
"12055","Prevent Mosquito Bites | Zika virus | CDC","how can you avoid the zika virus",1,"",""
"12056","Prevent Mosquito Bites | Zika virus | CDC","zika virus locations in florida",1,"",""
"12057","Prevent Mosquito Bites | Zika virus | CDC","how to prevent zika bites",1,"",""
"12058","Prevent Mosquito Bites | Zika virus | CDC","dealing with florida mosquito",1,"",""
"12059","Prevent Mosquito Bites | Zika virus | CDC","mosquito bites and zika",1,"",""
"12060","Prevent Mosquito Bites | Zika virus | CDC","cdc zika guidelines",1,"",""
"12061","Prevent Mosquito Bites | Zika virus | CDC","are you planning to travel to miami-dade county",1,"",""
"12062","Prevent Mosquito Bites | Zika virus | CDC","cdc.govzika",1,"",""
"12063","Prevent Mosquito Bites | Zika virus | CDC","cdc gov",1,"",""
"12064","Prevent Mosquito Bites | Zika virus | CDC","center for disease contro; zika virus",1,"",""
"12065","Prevent Mosquito Bites | Zika virus | CDC","zika bug spray",1,"",""
"12066","Prevent Mosquito Bites | Zika virus | CDC","how to fight against mosquito bite diseases environmentally write a notice 150 words",1,"",""
"12067","Prevent Mosquito Bites | Zika virus | CDC","mosquito sprays for zika",1,"",""
"12068","Prevent Mosquito Bites | Zika virus | CDC","high blood pressure management patient handout",1,"",""
"12069","Prevent Mosquito Bites | Zika virus | CDC","zika in cuba cayo coco january 2017",1,"",""
"12070","Prevent Mosquito Bites | Zika virus | CDC","cdc rec bug spray for zika",1,"",""
"12071","Prevent Mosquito Bites | Zika virus | CDC","safety about zika",1,"",""
"12072","Prevent Mosquito Bites | Zika virus | CDC","pregnant women travelling wher zeta virus is",1,"",""
"12073","Prevent Mosquito Bites | Zika virus | CDC","zika mosquitoes",1,"",""
"12074","Prevent Mosquito Bites | Zika virus | CDC","how long do you have to wait to get pregnant after zika",1,"",""
"12075","Prevent Mosquito Bites | Zika virus | CDC","zika infants risk",1,"",""
"12076","Prevent Mosquito Bites | Zika virus | CDC","prevention mosquito",1,"",""
"12077","Prevent Mosquito Bites | Zika virus | CDC","zika guidelines for",1,"",""
"12078","Prevent Mosquito Bites | Zika virus | CDC","z",1,"",""
"12079","Prevent Mosquito Bites | Zika virus | CDC","preventing mosquito bites",1,"",""
"12080","Prevent Mosquito Bites | Zika virus | CDC","zika virus countries to avoid",1,"",""
"12081","Prevent Mosquito Bites | Zika virus | CDC","zika virus travel advisory",1,"",""
"12082","Prevent Mosquito Bites | Zika virus | CDC","cdc.gov/zika",1,"",""
"12083","Prevent Mosquito Bites | Zika virus | CDC","what is zika vires?",1,"",""
"12084","Prevent Mosquito Bites | Zika virus | CDC","what happens to a child bit by a zika mosquto",1,"",""
"12085","Prevent Mosquito Bites | Zika virus | CDC","how to protect from mosquito bites",1,"",""
"12086","Prevent Mosquito Bites | Zika virus | CDC","how long can zika virus stay in your body",1,"",""
"12087","Prevent Mosquito Bites | Zika virus | CDC","mosquito repellant for zika",1,"",""
"12088","Prevent Mosquito Bites | Zika virus | CDC","what to wear to protect against zika",1,"",""
"12089","Prevent Mosquito Bites | Zika virus | CDC","what are the countries of high alert zone of zika virus",1,"",""
"12090","Prevent Mosquito Bites | Zika virus | CDC","are all mosquitos bites zika",1,"",""
"12091","Prevent Mosquito Bites | Zika virus | CDC","pregnant and travelling to miami",1,"",""
"12092","Prevent Mosquito Bites | Zika virus | CDC","<U+7F8E><U+56FD>cdc<U+5B98><U+7F51>",1,"",""
"12093","Prevent Mosquito Bites | Zika virus | CDC","zika virus mosquito repellent",1,"",""
"12094","Prevent Mosquito Bites | Zika virus | CDC","cdc zika florida",1,"",""
"12095","Prevent Mosquito Bites | Zika virus | CDC","countries & territories with active local zika virus transmiss",1,"",""
"12096","Prevent Mosquito Bites | Zika virus | CDC","zika in the us",1,"",""
"12097","Prevent Mosquito Bites | Zika virus | CDC","zika virus protection products",1,"",""
"12098","Prevent Mosquito Bites | Zika virus | CDC","miami zika virus",1,"",""
"12099","Prevent Mosquito Bites | Zika virus | CDC","deet and the cdc",1,"",""
"12100","Prevent Mosquito Bites | Zika virus | CDC","zykea virus",1,"",""
"12101","Prevent Mosquito Bites | Zika virus | CDC","zika in miami",1,"",""
"12102","Prevent Mosquito Bites | Zika virus | CDC","best insect repellent for breastfeeding to fight zika",1,"",""
"12103","Prevent Mosquito Bites | Zika virus | CDC","prevention of mosquito bites in community",1,"",""
"12104","Prevent Mosquito Bites | Zika virus | CDC","how to protect yourself from the zika virus",1,"",""
"12105","Prevent Mosquito Bites | Zika virus | CDC","zika preventive measures",1,"",""
"12106","Prevent Mosquito Bites | Zika virus | CDC","protectmosquitobites",1,"",""
"12107","Prevent Mosquito Bites | Zika virus | CDC","zeka virus",1,"",""
"12108","Prevent Mosquito Bites | Zika virus | CDC","what do to prevent zika",1,"",""
"12109","Prevent Mosquito Bites | Zika virus | CDC","zika precautions",1,"",""
"12110","Prevent Mosquito Bites | Zika virus | CDC","solution regarding zika virus in brazil",1,"",""
"12111","Prevent Mosquito Bites | Zika virus | CDC","precautions to prevent zika",1,"",""
"12112","Prevent Mosquito Bites | Zika virus | CDC","how to detect the zika virus through laboratory experimentation",1,"",""
"12113","Prevent Mosquito Bites | Zika virus | CDC","mosquito bite",1,"",""
"12114","Prevent Mosquito Bites | Zika virus | CDC","mosquito repellent vs zika virus",1,"",""
"12115","Prevent Mosquito Bites | Zika virus | CDC","control of zika virus",1,"",""
"12116","Prevent Mosquito Bites | Zika virus | CDC","when is flu season",1,"",""
"12117","Prevent Mosquito Bites | Zika virus | CDC","screening protection against mosquito bite",1,"",""
"12118","Prevent Mosquito Bites | Zika virus | CDC","zika virus repellents",1,"",""
"12119","Prevent Mosquito Bites | Zika virus | CDC","can adults get zika virus",1,"",""
"12120","Prevent Mosquito Bites | Zika virus | CDC","how pregnant women protect themselves from mosquitoes",1,"",""
"12121","Prevent Mosquito Bites | Zika virus | CDC","zika  virus",1,"",""
"12122","Prevent Mosquito Bites | Zika virus | CDC","zika repellant",1,"",""
"12123","Questions About Zika | Zika virus | CDC","::empty::",9562,"",""
"12124","Questions About Zika | Zika virus | CDC","::unspecified::",9496,"",""
"12125","Questions About Zika | Zika virus | CDC","zika virus",85,"",""
"12126","Questions About Zika | Zika virus | CDC","cdc",65,"",""
"12127","Questions About Zika | Zika virus | CDC","zika",16,"",""
"12128","Questions About Zika | Zika virus | CDC","cdc zika",15,"",""
"12129","Questions About Zika | Zika virus | CDC","cdc.gov",10,"",""
"12130","Questions About Zika | Zika virus | CDC","what is zika virus",8,"",""
"12131","Questions About Zika | Zika virus | CDC","zika cdc",7,"",""
"12132","Questions About Zika | Zika virus | CDC","cdc zika virus",6,"",""
"12133","Questions About Zika | Zika virus | CDC","https://www.cdc.gov/zika/about/questions.html",6,"",""
"12134","Questions About Zika | Zika virus | CDC","questions about zika virus",6,"",""
"12135","Questions About Zika | Zika virus | CDC","zika virus symptoms",5,"",""
"12136","Questions About Zika | Zika virus | CDC","zika virus cdc",4,"",""
"12137","Questions About Zika | Zika virus | CDC","about zika virus disease",4,"",""
"12138","Questions About Zika | Zika virus | CDC","whar about zika",3,"",""
"12139","Questions About Zika | Zika virus | CDC","what is mosquito-borne zika",3,"",""
"12140","Questions About Zika | Zika virus | CDC","centers for disease control and prevention",3,"",""
"12141","Questions About Zika | Zika virus | CDC","zika virus mosquito",3,"",""
"12142","Questions About Zika | Zika virus | CDC","zika area in florida",3,"",""
"12143","Questions About Zika | Zika virus | CDC","8)	what is the size of the epidemic of zika virus infection?",3,"",""
"12144","Questions About Zika | Zika virus | CDC","symptoms of zika",3,"",""
"12145","Questions About Zika | Zika virus | CDC","question about zika virus? brief question",3,"",""
"12146","Questions About Zika | Zika virus | CDC","severe zika",3,"",""
"12147","Questions About Zika | Zika virus | CDC","zika virus important questions for exam",3,"",""
"12148","Questions About Zika | Zika virus | CDC","cdc website",2,"",""
"12149","Questions About Zika | Zika virus | CDC","how can we affected by zika virus?",2,"",""
"12150","Questions About Zika | Zika virus | CDC","https://www.cdc.gov/zika/about/needtoknow.html",2,"",""
"12151","Questions About Zika | Zika virus | CDC","what is the best way to respond to zika?",2,"",""
"12152","Questions About Zika | Zika virus | CDC","zika and pregnancy",2,"",""
"12153","Questions About Zika | Zika virus | CDC","does zika virus cause dizziness",2,"",""
"12154","Questions About Zika | Zika virus | CDC","zica virus person place and time",2,"",""
"12155","Questions About Zika | Zika virus | CDC","zika virus map",2,"",""
"12156","Questions About Zika | Zika virus | CDC","health needs on large gatherings",2,"",""
"12157","Questions About Zika | Zika virus | CDC","the zika virus",2,"",""
"12158","Questions About Zika | Zika virus | CDC","what is the zika virus",2,"",""
"12159","Questions About Zika | Zika virus | CDC","related question about zika virus",2,"",""
"12160","Questions About Zika | Zika virus | CDC","cdc disease hawaii 2017  map",2,"",""
"12161","Questions About Zika | Zika virus | CDC","zika virus information",2,"",""
"12162","Questions About Zika | Zika virus | CDC","where is zika virus",2,"",""
"12163","Questions About Zika | Zika virus | CDC","zika virus 2017 cdc",2,"",""
"12164","Questions About Zika | Zika virus | CDC","zika bite",2,"",""
